Voltage_mV,Current_uA,Threshold_Voltage_mV
0.000,0.000,390.189
10.000,6.494,390.061
20.000,12.672,389.934
30.000,18.552,389.807
40.000,24.148,389.679
50.000,29.473,389.552
60.000,34.543,389.424
70.000,39.368,389.297
80.000,43.961,389.170
90.000,48.332,389.042
100.000,52.492,388.915
110.000,56.451,388.788
120.000,60.217,388.660
130.000,63.800,388.533
140.000,67.209,388.405
150.000,70.451,388.278
160.000,73.533,388.151
170.000,76.464,388.023
180.000,79.251,387.896
190.000,81.900,387.768
200.000,84.418,387.641
210.000,86.813,387.514
220.000,89.091,387.386
230.000,91.258,387.259
240.000,93.322,387.131
250.000,95.289,387.004
260.000,97.166,386.877
270.000,98.958,386.749
280.000,100.672,386.622
290.000,102.314,386.494
300.000,103.888,386.367
310.000,105.402,386.240
320.000,106.858,386.112
330.000,108.261,385.985
340.000,109.615,385.857
350.000,110.924,385.730
360.000,112.191,385.603
370.000,113.418,385.475
380.000,114.609,385.348
390.000,115.766,385.221
400.000,116.891,385.093
410.000,117.986,384.966
420.000,119.054,384.838
430.000,120.095,384.711
440.000,121.112,384.584
450.000,122.105,384.456
460.000,123.077,384.329
470.000,124.029,384.201
480.000,124.961,384.074
490.000,125.875,383.947
500.000,126.772,383.819
510.000,127.652,383.692
520.000,128.517,383.564
530.000,129.367,383.437
540.000,130.204,383.310
550.000,131.027,383.182
560.000,131.837,383.055
570.000,132.635,382.927
580.000,133.422,382.800
590.000,134.197,382.673
600.000,134.963,382.545
610.000,135.718,382.418
620.000,136.463,382.290
630.000,137.200,382.163
640.000,137.927,382.036
650.000,138.646,381.908
660.000,139.357,381.781
670.000,140.060,381.654
680.000,140.755,381.526
690.000,141.443,381.399
700.000,142.125,381.271
710.000,142.799,381.144
720.000,143.467,381.017
730.000,144.129,380.889
740.000,144.784,380.762
750.000,145.434,380.634
760.000,146.078,380.507
770.000,146.717,380.380
780.000,147.351,380.252
790.000,147.979,380.125
800.000,148.602,379.997
810.000,149.221,379.870
820.000,149.835,379.743
830.000,150.445,379.615
840.000,151.050,379.488
850.000,151.651,379.360
860.000,152.248,379.233
870.000,152.841,379.106
880.000,153.430,378.978
890.000,154.016,378.851
900.000,154.597,378.723
910.000,155.175,378.596
920.000,155.750,378.469
930.000,156.322,378.341
940.000,156.890,378.214
950.000,157.455,378.087
960.000,158.017,377.959
970.000,158.576,377.832
980.000,159.131,377.704
990.000,159.685,377.577
1000.000,160.235,377.450
1010.000,160.782,377.322
1020.000,161.327,377.195
1030.000,161.870,377.067
1040.000,162.410,376.940
1050.000,162.947,376.812
